time,temperature_2m,wind_speed_10m,hour,price
2025-01-13 09:00:00,-3.0,8.7,9,141.69
2025-01-13 10:00:00,-1.4,7.2,10,115.73
2025-01-13 11:00:00,0.2,6.8,11,104.1
2025-01-13 12:00:00,1.5,9.3,12,103.04
2025-01-13 13:00:00,1.2,9.5,13,104.67
2025-01-13 14:00:00,1.0,9.8,14,138.2
2025-01-13 15:00:00,0.1,9.8,15,142.62
2025-01-13 16:00:00,-1.0,11.3,16,149.0
2025-01-13 17:00:00,-1.3,11.8,17,149.0
2025-01-13 18:00:00,-1.6,12.8,18,139.73
2025-01-13 19:00:00,-2.0,13.2,19,123.18
2025-01-13 20:00:00,-2.1,13.5,20,120.22
2025-01-13 21:00:00,-1.8,13.6,21,115.57
2025-01-13 22:00:00,-1.7,13.9,22,102.31
2025-01-13 23:00:00,-1.8,14.8,23,106.38
2025-01-14 00:00:00,-2.1,14.6,0,103.7
2025-01-14 01:00:00,-1.7,15.2,1,99.08
2025-01-14 02:00:00,-1.5,15.7,2,97.99
2025-01-14 03:00:00,-0.7,16.8,3,101.88
2025-01-14 04:00:00,-0.2,16.9,4,107.64
2025-01-14 05:00:00,-0.2,16.5,5,123.4
2025-01-14 06:00:00,0.3,16.5,6,156.62
2025-01-14 07:00:00,0.6,17.1,7,184.03
2025-01-14 08:00:00,0.9,17.7,8,151.86
2025-01-14 09:00:00,1.3,17.2,9,117.62
2025-01-14 10:00:00,2.2,17.8,10,109.31
2025-01-14 11:00:00,3.2,18.9,11,103.11
2025-01-14 12:00:00,3.8,19.4,12,108.11
2025-01-14 13:00:00,2.8,16.9,13,115.35
2025-01-14 14:00:00,2.6,16.3,14,125.35
2025-01-14 15:00:00,2.7,16.5,15,141.97
2025-01-14 16:00:00,3.0,16.6,16,165.86
2025-01-14 17:00:00,3.4,15.3,17,170.07
2025-01-14 18:00:00,3.7,15.8,18,158.38
2025-01-14 19:00:00,3.7,15.0,19,135.46
2025-01-14 20:00:00,3.6,14.3,20,117.69
2025-01-14 21:00:00,3.6,14.6,21,121.0
2025-01-14 22:00:00,3.8,16.2,22,121.76
2025-01-14 23:00:00,3.9,16.6,23,108.28
2025-01-15 00:00:00,3.9,15.3,0,107.72
2025-01-15 01:00:00,4.0,15.5,1,108.41
2025-01-15 02:00:00,3.7,14.5,2,108.04
2025-01-15 03:00:00,3.8,11.9,3,108.75
2025-01-15 04:00:00,4.0,10.4,4,114.92
2025-01-15 05:00:00,4.3,12.4,5,134.49
2025-01-15 06:00:00,4.5,11.6,6,191.79
2025-01-15 07:00:00,4.5,12.4,7,307.24
2025-01-15 08:00:00,4.4,9.6,8,315.02
2025-01-15 09:00:00,4.7,7.3,9,311.03
2025-01-15 10:00:00,5.3,8.5,10,304.8
2025-01-15 11:00:00,5.6,9.7,11,311.02
2025-01-15 12:00:00,5.8,8.0,12,309.34
2025-01-15 13:00:00,5.4,6.2,13,285.83
2025-01-15 14:00:00,5.3,7.0,14,301.74
2025-01-15 15:00:00,4.9,6.3,15,333.52
2025-01-15 16:00:00,4.5,7.6,16,377.99
2025-01-15 17:00:00,4.4,7.1,17,324.74
2025-01-15 18:00:00,4.1,6.1,18,270.09
2025-01-15 19:00:00,4.0,5.0,19,181.66
2025-01-15 20:00:00,4.0,5.6,20,150.87
2025-01-15 21:00:00,3.9,6.4,21,141.16
2025-01-15 22:00:00,3.9,6.1,22,123.9
2025-01-15 23:00:00,3.9,7.0,23,126.33
2025-01-16 00:00:00,3.9,7.4,0,119.12
2025-01-16 01:00:00,4.1,7.6,1,117.62
2025-01-16 02:00:00,4.1,7.8,2,115.03
2025-01-16 03:00:00,4.1,8.0,3,115.75
2025-01-16 04:00:00,4.0,8.0,4,123.27
2025-01-16 05:00:00,4.0,8.5,5,138.7
2025-01-16 06:00:00,4.1,8.9,6,173.04
2025-01-16 07:00:00,4.1,9.5,7,199.65
2025-01-16 08:00:00,4.2,10.3,8,175.0
2025-01-16 09:00:00,4.4,13.0,9,151.9
2025-01-16 10:00:00,4.4,13.2,10,140.64
2025-01-16 11:00:00,4.5,14.8,11,131.13
2025-01-16 12:00:00,4.6,14.2,12,130.58
2025-01-16 13:00:00,4.3,11.7,13,138.42
2025-01-16 14:00:00,4.2,10.6,14,163.04
2025-01-16 15:00:00,4.1,8.5,15,179.2
2025-01-16 16:00:00,3.8,7.8,16,191.56
2025-01-16 17:00:00,3.5,9.2,17,184.32
2025-01-16 18:00:00,3.2,9.7,18,179.97
2025-01-16 19:00:00,2.9,8.7,19,159.6
2025-01-16 20:00:00,2.7,7.9,20,141.6
2025-01-16 21:00:00,2.4,8.0,21,135.29
2025-01-16 22:00:00,2.1,8.0,22,123.75
2025-01-16 23:00:00,2.1,8.4,23,118.87
2025-01-17 00:00:00,2.1,8.8,0,118.39
2025-01-17 01:00:00,1.3,8.1,1,115.71
2025-01-17 02:00:00,1.0,8.1,2,114.72
2025-01-17 03:00:00,1.0,7.7,3,115.48
2025-01-17 04:00:00,1.1,8.0,4,122.16
2025-01-17 05:00:00,1.2,8.8,5,140.8
2025-01-17 06:00:00,0.8,8.5,6,175.01
2025-01-17 07:00:00,0.4,9.5,7,208.13
2025-01-17 08:00:00,0.1,9.1,8,175.34
2025-01-17 09:00:00,0.1,8.5,9,158.0
2025-01-17 10:00:00,0.2,8.2,10,140.73
2025-01-17 11:00:00,0.6,7.6,11,126.44
2025-01-17 12:00:00,1.5,8.9,12,124.03
2025-01-17 13:00:00,0.8,9.0,13,132.99
2025-01-17 14:00:00,1.1,7.4,14,151.98
2025-01-17 15:00:00,0.3,5.3,15,170.21
2025-01-17 16:00:00,-0.6,6.7,16,178.79
2025-01-17 17:00:00,-0.9,7.4,17,179.92
2025-01-17 18:00:00,-1.1,7.4,18,174.22
2025-01-17 19:00:00,-1.3,6.1,19,157.91
2025-01-17 20:00:00,-1.3,6.1,20,145.0
2025-01-17 21:00:00,-1.1,5.9,21,139.97
2025-01-17 22:00:00,-0.8,5.6,22,126.84
2025-01-17 23:00:00,-0.7,7.3,23,125.29
2025-01-18 00:00:00,-0.9,5.6,0,121.05
2025-01-18 01:00:00,-1.4,6.2,1,120.98
2025-01-18 02:00:00,-1.6,5.8,2,118.85
2025-01-18 03:00:00,-1.7,3.6,3,116.46
2025-01-18 04:00:00,-1.8,1.7,4,119.77
2025-01-18 05:00:00,-2.0,1.2,5,119.75
2025-01-18 06:00:00,-2.1,2.2,6,133.39
2025-01-18 07:00:00,-2.2,1.5,7,145.63
2025-01-18 08:00:00,-2.3,3.2,8,144.1
2025-01-18 09:00:00,-2.2,3.8,9,131.21
2025-01-18 10:00:00,-2.1,3.3,10,121.56
2025-01-18 11:00:00,-1.6,3.8,11,118.87
2025-01-18 12:00:00,-0.9,5.2,12,115.01
2025-01-18 13:00:00,-0.4,5.0,13,119.32
2025-01-18 14:00:00,-0.2,4.7,14,133.32
2025-01-18 15:00:00,-1.0,4.4,15,149.71
2025-01-18 16:00:00,-1.8,5.6,16,164.59
2025-01-18 17:00:00,-2.2,6.6,17,167.57
2025-01-18 18:00:00,-2.6,7.3,18,167.85
2025-01-18 19:00:00,-2.8,8.0,19,156.12
2025-01-18 20:00:00,-3.1,8.1,20,143.42
2025-01-18 21:00:00,-3.4,7.5,21,136.4
2025-01-18 22:00:00,-3.8,7.4,22,129.36
2025-01-18 23:00:00,-4.0,8.1,23,129.73
2025-01-19 00:00:00,-4.1,9.2,0,124.2
2025-01-19 01:00:00,-3.3,10.1,1,123.05
2025-01-19 02:00:00,-3.3,10.6,2,121.24
2025-01-19 03:00:00,-3.1,10.7,3,120.18
